Year,Month,Estimated Market Hog Value,Dressed Weight (kg),Feed Costs,Other Variable Costs,Fixed Costs,Total Cost per Pig,Net Return
2025,Jan,$262.24,109.63,$144.94,$56.96,$36.16,$238.06,$24.18
2025,Feb,$278.02,109.03,$145.48,$56.67,$36.16,$238.31,$39.71
2025,Mar,$280.38,107.76,$144.93,$55.81,$36.16,$236.90,$43.48
2025,Apr,$265.55,107.29,$144.99,$55.46,$36.16,$236.61,$28.94
2025,May,$272.15,106.12,$142.53,$55.68,$36.16,$234.37,$37.78
2025,Jun,$301.89,104.53,$139.12,$55.85,$36.16,$231.13,$70.76
2025,Jul,$312.93,104.10,$138.03,$55.70,$36.16,$229.90,$83.03
2025,Aug,$317.22,104.08,$137.17,$55.70,$36.16,$229.03,$88.19
2025,Sep,$315.59,106.67,$141.59,$55.82,$36.16,$233.57,$82.02
2025,Oct,$298.32,108.16,$143.57,$55.53,$36.16,$235.27,$63.05
2025,Nov,$269.26,108.93,$145.19,$55.18,$36.16,$236.54,$32.72
2025,Dec,$250.78,108.16,$144.82,$55.09,$36.16,$236.07,$14.71
2024,Jan,$200.35,109.61,$157.12,$58.84,$33.42,$249.37,-$49.02
2024,Feb,$221.02,108.21,$150.46,$58.78,$33.42,$242.66,-$21.64
2024,Mar,$242.00,107.34,$145.12,$58.47,$33.42,$237.00,$5.00
2024,Apr,$265.03,107.07,$140.83,$57.76,$33.42,$232.01,$33.02
2024,May,$266.65,105.38,$137.93,$57.25,$33.42,$228.59,$38.06
2024,Jun,$264.62,104.83,$137.74,$57.40,$33.42,$228.56,$36.06
2024,Jul,$258.96,104.29,$137.23,$57.38,$33.42,$228.02,$30.94
2024,Aug,$266.82,106.38,$140.78,$56.83,$33.42,$231.03,$35.79
2024,Sep,$249.69,107.06,$141.52,$56.72,$33.42,$231.66,$18.03
2024,Oct,$248.00,105.70,$138.11,$56.82,$33.42,$228.35,$19.65
2024,Nov,$266.68,107.08,$139.25,$56.56,$33.42,$229.22,$37.46
2024,Dec,$261.21,107.57,$140.09,$56.05,$33.42,$229.56,$31.65
2023,Jan,$220.97,108.17,$188.21,$54.13,$31.33,$273.67,-$52.70
2023,Feb,$217.90,106.85,$185.59,$54.78,$31.33,$271.70,-$53.80
2023,Mar,$231.00,106.42,$184.61,$54.91,$31.33,$270.85,-$39.85
2023,Apr,$208.85,105.87,$182.02,$54.47,$31.33,$267.82,-$58.97
2023,May,$220.82,104.85,$176.36,$54.30,$31.33,$261.99,-$41.17
2023,Jun,$244.09,104.37,$171.23,$54.67,$31.33,$257.23,-$13.14
2023,Jul,$280.77,103.63,$165.70,$54.78,$31.33,$251.81,$28.96
2023,Aug,$287.62,103.71,$161.73,$54.99,$31.33,$248.05,$39.57
2023,Sep,$253.06,105.78,$162.79,$54.84,$31.33,$248.96,$4.10
2023,Oct,$241.62,107.22,$162.30,$55.02,$31.33,$248.65,-$7.03
2023,Nov,$227.14,107.66,$161.21,$55.65,$31.33,$248.19,-$21.05
2023,Dec,$199.21,107.45,$157.89,$56.47,$31.33,$245.70,-$46.49
2022,Jan,$218.04,111.85,$163.69,$50.26,$27.08,$241.03,-$22.99
2022,Feb,$260.54,111.30,$168.79,$50.25,$27.08,$246.12,$14.42
2022,Mar,$284.53,110.06,$174.28,$50.14,$27.08,$251.50,$33.03
2022,Apr,$278.33,107.41,$176.62,$49.53,$27.08,$253.22,$25.11
2022,May,$279.67,105.50,$179.66,$49.30,$27.08,$256.04,$23.63
2022,Jun,$291.80,104.25,$181.38,$49.94,$27.08,$258.40,$33.40
2022,Jul,$312.28,104.14,$182.57,$50.56,$27.08,$260.21,$52.07
2022,Aug,$326.79,104.01,$181.38,$50.59,$27.08,$259.05,$67.74
2022,Sep,$280.60,104.27,$181.63,$50.60,$27.08,$259.31,$21.29
2022,Oct,$273.78,105.52,$184.15,$51.04,$27.08,$262.27,$11.51
2022,Nov,$257.84,106.23,$185.41,$51.62,$27.08,$264.11,-$6.27
2022,Dec,$238.29,106.27,$185.70,$52.02,$27.08,$264.79,-$26.50
2021,Jan,$185.34,110.31,$141.02,$49.19,$24.47,$214.68,-$29.34
2021,Feb,$208.35,108.85,$146.06,$49.61,$24.47,$220.14,-$11.79
2021,Mar,$243.76,107.38,$147.99,$49.63,$24.47,$222.09,$21.67
2021,Apr,$276.63,105.91,$151.33,$49.45,$24.47,$225.25,$51.38
2021,May,$287.42,105.43,$155.00,$49.30,$24.47,$228.77,$58.65
2021,Jun,$306.26,104.71,$156.85,$49.16,$24.47,$230.48,$75.78
2021,Jul,$293.84,103.88,$159.06,$48.43,$24.47,$231.96,$61.88
2021,Aug,$292.69,105.04,$162.66,$47.47,$24.47,$234.60,$58.09
2021,Sep,$263.62,105.93,$161.90,$46.67,$24.47,$233.05,$30.57
2021,Oct,$242.13,108.30,$161.33,$46.25,$24.47,$232.05,$10.08
2021,Nov,$212.07,109.64,$159.95,$47.90,$24.47,$232.33,-$20.26
2021,Dec,$203.28,109.53,$158.50,$48.05,$24.47,$231.03,-$27.75
2020,Jan,$170.48,106.96,$127.56,$46.13,$26.19,$199.89,-$29.41
2020,Feb,$163.84,105.87,$124.89,$46.32,$26.19,$197.40,-$33.56
2020,Mar,$179.67,105.44,$124.84,$46.36,$26.19,$197.39,-$17.72
2020,Apr,$155.05,104.50,$122.78,$45.92,$26.19,$194.88,-$39.83
2020,May,$186.47,105.31,$122.15,$45.80,$26.19,$194.14,-$7.67
2020,Jun,$141.95,104.09,$120.11,$45.76,$26.19,$192.06,-$50.11
2020,Jul,$134.39,102.20,$116.90,$45.72,$26.19,$188.81,-$54.42
2020,Aug,$151.14,102.96,$117.57,$45.72,$26.19,$189.47,-$38.33
2020,Sep,$181.65,104.20,$120.65,$45.75,$26.19,$192.59,-$10.94
2020,Oct,$219.83,105.94,$125.27,$46.02,$26.19,$197.47,$22.36
2020,Nov,$200.22,108.15,$130.85,$45.96,$26.19,$202.99,-$2.77
2020,Dec,$180.68,107.56,$133.58,$45.94,$26.19,$205.72,-$25.04
2019,Jan,$160.53,105.19,$120.66,$45.11,$24.55,$190.33,-$29.80
2019,Feb,$156.28,104.06,$119.85,$45.31,$24.55,$189.71,-$33.43
2019,Mar,$162.42,103.87,$119.70,$45.33,$24.55,$189.58,-$27.16
2019,Apr,$224.51,103.38,$118.41,$45.05,$24.55,$188.02,$36.49
2019,May,$235.48,103.57,$118.72,$44.88,$24.55,$188.15,$47.33
2019,Jun,$219.25,102.74,$120.07,$44.67,$24.55,$189.30,$29.95
2019,Jul,$198.39,102.26,$122.65,$44.91,$24.55,$192.12,$6.27
2019,Aug,$215.60,101.44,$123.95,$44.76,$24.55,$193.27,$22.33
2019,Sep,$165.37,102.96,$128.08,$45.00,$24.55,$197.63,-$32.26
2019,Oct,$172.79,103.90,$128.93,$44.85,$24.55,$198.33,-$25.54
2019,Nov,$169.32,105.16,$127.71,$44.90,$24.55,$197.16,-$27.84
2019,Dec,$166.10,105.07,$126.67,$44.96,$24.55,$196.19,-$30.09
2018,Jan,$185.18,105.50,$113.29,$43.42,$24.55,$181.26,$3.92
2018,Feb,$194.57,104.44,$113.12,$43.48,$24.55,$181.16,$13.41
2018,Mar,$177.24,104.19,$115.16,$43.70,$24.55,$183.41,-$6.17
2018,Apr,$151.00,104.01,$117.19,$43.66,$24.55,$185.41,-$34.41
2018,May,$175.72,102.78,$119.22,$43.83,$24.55,$187.61,-$11.89
2018,Jun,$212.53,101.90,$119.89,$44.32,$24.55,$188.76,$23.77
2018,Jul,$214.25,101.33,$119.21,$44.17,$24.55,$187.93,$26.32
2018,Aug,$151.11,101.27,$118.93,$43.98,$24.55,$187.46,-$36.35
2018,Sep,$145.79,101.75,$118.40,$43.97,$24.55,$186.93,-$41.14
2018,Oct,$183.34,102.65,$118.51,$43.96,$24.55,$187.03,-$3.69
2018,Nov,$166.56,102.92,$118.48,$44.05,$24.55,$187.08,-$20.52
2018,Dec,$153.57,102.59,$117.74,$44.30,$24.55,$186.60,-$33.03
2017,Jan,$175.46,103.60,$114.46,$41.45,$23.76,$179.67,-$4.21
2017,Feb,$201.88,103.00,$114.81,$41.25,$23.76,$179.82,$22.06
2017,Mar,$199.43,102.34,$114.81,$41.24,$23.76,$179.81,$19.62
2017,Apr,$175.22,102.13,$114.31,$43.69,$23.76,$181.77,-$6.55
2017,May,$196.76,101.50,$113.76,$43.78,$23.76,$181.30,$15.46
2017,Jun,$228.86,101.31,$112.94,$44.08,$23.76,$180.79,$48.07
2017,Jul,$238.68,101.00,$112.34,$44.56,$23.76,$180.66,$58.02
2017,Aug,$217.76,101.17,$112.05,$44.77,$23.76,$180.58,$37.18
2017,Sep,$166.61,101.97,$112.15,$44.70,$23.76,$180.62,-$14.01
2017,Oct,$159.20,102.16,$111.79,$44.45,$23.76,$180.01,-$20.81
2017,Nov,$178.48,103.07,$111.52,$44.31,$23.76,$179.60,-$1.12
2017,Dec,$170.44,103.81,$112.28,$43.86,$23.76,$179.90,-$9.46
2016,Jan,$168.21,105.36,$116.85,$40.46,$23.76,$181.07,-$12.86
2016,Feb,$190.63,104.09,$114.79,$40.71,$23.76,$179.27,$11.36
2016,Mar,$184.17,102.89,$113.25,$40.41,$23.76,$177.42,$6.75
2016,Apr,$178.62,102.09,$111.91,$40.00,$23.76,$175.67,$2.95
2016,May,$203.34,101.39,$111.96,$40.02,$23.76,$175.74,$27.60
2016,Jun,$211.91,100.66,$113.91,$40.28,$23.76,$177.95,$33.96
2016,Jul,$213.89,100.56,$114.94,$40.32,$23.76,$179.02,$34.87
2016,Aug,$181.37,100.44,$116.00,$40.55,$23.76,$180.31,$1.06
2016,Sep,$167.26,100.81,$115.57,$40.79,$23.76,$180.12,-$12.86
2016,Oct,$145.49,102.35,$114.51,$40.65,$23.76,$178.93,-$33.44
2016,Nov,$136.55,101.78,$112.35,$40.45,$23.76,$176.57,-$40.02
2016,Dec,$150.87,101.30,$111.35,$40.54,$23.76,$175.66,-$24.79
2015,Jan,$191.08,103.58,$118.19,$37.62,$21.92,$177.73,$13.35
2015,Feb,$167.65,102.91,$118.80,$37.88,$21.92,$178.60,-$10.95
2015,Mar,$170.92,102.25,$118.22,$38.22,$21.92,$178.36,-$7.44
2015,Apr,$159.31,102.05,$116.49,$38.07,$21.92,$176.47,-$17.16
2015,May,$193.97,101.02,$113.94,$37.96,$21.92,$173.82,$20.15
2015,Jun,$203.47,100.31,$112.11,$38.02,$21.92,$172.04,$31.43
2015,Jul,$206.11,100.71,$112.44,$37.71,$21.92,$172.06,$34.05
2015,Aug,$211.68,100.81,$112.54,$38.52,$21.92,$172.98,$38.70
2015,Sep,$198.70,100.95,$114.79,$38.77,$21.92,$175.47,$23.23
2015,Oct,$199.79,102.03,$116.68,$39.34,$21.92,$177.94,$21.85
2015,Nov,$166.74,104.12,$117.57,$39.53,$21.92,$179.01,-$12.27
2015,Dec,$159.79,103.78,$116.83,$39.62,$21.92,$178.37,-$18.58
2014,Jan,$179.83,100.63,$113.64,$38.45,$21.92,$174.01,$5.82
2014,Feb,$198.51,100.44,$113.90,$38.28,$21.92,$174.09,$24.42
2014,Mar,$257.52,100.51,$115.92,$38.05,$21.92,$175.89,$81.63
2014,Apr,$281.46,101.22,$118.61,$37.74,$21.92,$178.27,$103.19
2014,May,$253.06,101.19,$120.53,$37.49,$21.92,$179.94,$73.12
2014,Jun,$256.58,100.26,$119.81,$37.46,$21.92,$179.19,$77.39
2014,Jul,$285.96,100.32,$118.70,$37.60,$21.92,$178.22,$107.74
2014,Aug,$256.30,100.62,$118.50,$37.69,$21.92,$178.10,$78.20
2014,Sep,$229.77,101.31,$119.28,$37.65,$21.92,$178.84,$50.93
2014,Oct,$244.45,102.23,$117.61,$37.67,$21.92,$177.20,$67.25
2014,Nov,$208.19,102.24,$118.39,$37.74,$21.92,$178.05,$30.14
2014,Dec,$202.49,101.73,$118.05,$37.78,$21.92,$177.75,$24.74
2013,Jan,$168.60,98.69,$135.55,$39.91,$20.74,$196.20,-$27.60
2013,Feb,$175.88,97.72,$133.05,$40.03,$20.74,$193.83,-$17.95
2013,Mar,$157.40,97.75,$132.84,$40.19,$20.74,$193.77,-$36.37
2013,Apr,$162.91,97.71,$130.90,$40.06,$20.74,$191.71,-$28.80
2013,May,$183.30,97.16,$129.39,$39.85,$20.74,$189.98,-$6.68
2013,Jun,$204.81,96.94,$128.96,$39.59,$20.74,$189.29,$15.52
2013,Jul,$209.34,96.69,$127.98,$39.51,$20.74,$188.23,$21.11
2013,Aug,$204.31,96.99,$128.54,$39.10,$20.74,$188.38,$15.93
2013,Sep,$195.11,97.83,$129.04,$39.00,$20.74,$188.79,$6.32
2013,Oct,$191.83,98.69,$125.44,$38.99,$20.74,$185.18,$6.65
2013,Nov,$180.04,99.45,$121.00,$38.95,$20.74,$180.70,-$0.66
2013,Dec,$174.03,99.45,$117.43,$38.75,$20.74,$176.93,-$2.90
2012,Jan,$168.93,97.11,$120.10,$37.88,$20.85,$178.83,-$9.90
2012,Feb,$172.13,96.84,$118.75,$37.79,$20.85,$177.39,-$5.26
2012,Mar,$169.77,96.67,$119.22,$37.77,$20.85,$177.83,-$8.06
2012,Apr,$161.57,96.76,$120.20,$37.63,$20.85,$178.67,-$17.10
2012,May,$162.04,96.88,$120.64,$37.47,$20.85,$178.95,-$16.91
2012,Jun,$188.23,96.58,$120.79,$37.38,$20.85,$179.02,$9.21
2012,Jul,$194.37,96.02,$124.74,$37.51,$20.85,$183.10,$11.27
2012,Aug,$175.41,96.15,$131.20,$37.51,$20.85,$189.56,-$14.15
2012,Sep,$138.90,96.84,$136.87,$37.64,$20.85,$195.36,-$56.46
2012,Oct,$160.45,97.35,$141.92,$37.81,$20.85,$200.58,-$40.13
2012,Nov,$160.37,97.68,$141.50,$37.97,$20.85,$200.32,-$39.95
2012,Dec,$163.11,97.48,$138.62,$38.16,$20.85,$197.63,-$34.52
2011,Jan,$145.11,96.85,$102.87,$36.70,$20.85,$160.42,-$15.31
2011,Feb,$159.19,95.90,$105.51,$36.71,$20.85,$163.07,-$3.88
2011,Mar,$161.31,96.30,$109.08,$36.76,$20.85,$166.69,-$5.38
2011,Apr,$173.08,96.30,$112.96,$36.90,$20.85,$170.71,$2.37
2011,May,$175.42,96.28,$116.17,$37.08,$20.85,$174.09,$1.33
2011,Jun,$179.60,95.92,$119.27,$37.31,$20.85,$177.42,$2.18
2011,Jul,$180.16,95.66,$122.68,$37.59,$20.85,$181.12,-$0.96
2011,Aug,$197.87,95.13,$125.27,$37.64,$20.85,$183.76,$14.11
2011,Sep,$175.53,96.45,$129.41,$37.69,$20.85,$187.95,-$12.42
2011,Oct,$186.33,97.17,$128.94,$37.72,$20.85,$187.50,-$1.17
2011,Nov,$173.20,96.96,$126.78,$37.77,$20.85,$185.40,-$12.20
2011,Dec,$168.22,96.41,$122.22,$37.80,$20.85,$180.87,-$12.65
2010,Jan,$130.69,93.82,$95.76,$38.61,$20.85,$155.21,-$24.52
2010,Feb,$133.31,92.86,$92.68,$39.01,$20.85,$152.54,-$19.23
2010,Mar,$138.68,92.73,$90.12,$39.33,$20.85,$150.30,-$11.62
2010,Apr,$143.44,92.87,$88.01,$39.21,$20.85,$148.07,-$4.63
2010,May,$165.70,92.51,$86.47,$39.13,$20.85,$146.45,$19.25
2010,Jun,$154.86,92.81,$85.60,$39.11,$20.85,$145.56,$9.30
2010,Jul,$155.36,92.71,$85.67,$38.79,$20.85,$145.31,$10.05
2010,Aug,$161.59,93.04,$86.43,$38.56,$20.85,$145.83,$15.76
2010,Sep,$161.60,93.97,$88.27,$38.35,$20.85,$147.47,$14.13
2010,Oct,$146.76,94.82,$91.49,$38.10,$20.85,$150.44,-$3.68
2010,Nov,$125.73,95.70,$94.69,$37.93,$20.85,$153.47,-$27.74
2010,Dec,$133.98,95.68,$98.18,$38.00,$20.85,$157.02,-$23.04
2009,Jan,$128.33,94.07,$103.74,$40.98,$20.85,$165.57,-$37.24
